"","age","at","baspread","bhr","div","leverage","mve","nanalysts","pe_fwd","price","q","roa","sp500","tang","turnover","ior","active_ratio","numowners","numowners_active_ratio"
"age",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"at",0.092,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"baspread",-0.135,-0.034,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bhr",-0.016,-0.01,-0.017,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"div",0.136,0.402,-0.046,-0.034,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"leverage",0.09,0.019,0.008,-0.037,0.058,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mve",0.236,0.426,-0.067,0.013,0.478,0.017,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nanalysts",0.385,0.12,-0.224,-0.033,0.154,0.048,0.307,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pe_fwd",-0.012,-0.007,-0.006,0.073,-0.011,-0.037,0.009,0.026,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"price",0.168,0.072,-0.076,0.014,0.025,-0.016,0.252,0.157,0.066,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"q",-0.067,-0.031,-0.058,0.203,-0.016,-0.11,0.029,0.006,0.157,0.037,1,NA,NA,NA,NA,NA,NA,NA,NA
"roa",0.079,0.007,-0.015,0.062,0.025,-0.004,0.038,0.047,0.033,0.058,0.489,1,NA,NA,NA,NA,NA,NA,NA
"sp500",0.466,0.133,-0.111,-0.019,0.153,0.055,0.31,0.63,0.015,0.146,-0.02,0.049,1,NA,NA,NA,NA,NA,NA
"tang",-0.194,-0.06,0.047,0.044,-0.084,-0.31,-0.117,-0.135,0.024,-0.083,0.181,-0.049,-0.156,1,NA,NA,NA,NA,NA
"turnover",-0.016,0.021,-0.027,0.032,0.022,-0.005,0.014,0.016,0.01,0.001,0.026,-0.011,-0.004,0.014,1,NA,NA,NA,NA
"ior",0.279,0.082,-0.313,-0.009,0.101,0.065,0.168,0.451,0.013,0.156,0.009,0.057,0.257,-0.202,0.065,1,NA,NA,NA
"active_ratio",-0.148,-0.009,0.046,0.03,-0.017,0,-0.021,-0.104,-0.009,-0.033,0.044,-0.037,-0.149,0.021,0.03,0.099,1,NA,NA
"numowners",0.487,0.292,-0.187,-0.011,0.358,0.073,0.675,0.686,0.004,0.248,0.021,0.07,0.655,-0.22,0.019,0.478,-0.036,1,NA
"numowners_active_ratio",-0.064,0.034,0.049,0.026,0.034,0.005,0.083,0,-0.015,0.022,0.039,-0.013,-0.055,-0.033,0.044,0.216,0.704,0.176,1
