"","Mean","Std Dev","1st","5th","25th","Median","75th","95th","99th"
"age","20.648","15.278","2.998","4.999","9.002","16.000","26.001","55.001","63.001"
"at","3,577.017","9,129.440","19.662","41.621","178.232","611.070","2,350.677","17,716.150","62,404.883"
"baspread","0.001","0.006","0.000","0.000","0.000","0.000","0.000","0.000","0.044"
"bhr","0.168","0.569","-0.761","-0.558","-0.172","0.082","0.369","1.207","2.760"
"div","1.545","5.372","0.000","0.000","0.000","0.000","0.465","8.019","40.850"
"leverage","0.191","0.184","0.000","0.000","0.006","0.157","0.315","0.548","0.702"
"mve","3,920.795","10,981.519","19.168","47.306","218.759","677.059","2,399.036","17,677.582","82,215.576"
"nanalysts","6.692","6.992","0.000","0.000","1.000","5.000","10.000","22.000","30.000"
"pe_fwd","20.887","48.692","-163.572","-28.555","8.321","16.716","27.775","85.831","288.892"
"price","25.695","22.691","2.126","3.451","9.016","19.088","35.088","70.449","121.255"
"q","1.767","1.379","0.402","0.587","0.903","1.310","2.090","4.685","8.116"
"roa","0.012","0.147","-0.643","-0.297","-0.009","0.040","0.082","0.175","0.307"
"sp500","0.147","0.354","0.000","0.000","0.000","0.000","0.000","1.000","1.000"
"tang","0.499","0.186","0.000","0.189","0.387","0.501","0.601","0.837","0.948"
"turnover","9.372","8.013","0.526","1.299","4.038","7.150","12.055","25.348","45.681"
"negearn","0.276","0.447","0.000","0.000","0.000","0.000","1.000","1.000","1.000"
